MANTER/TIRAR;Familia;Codigo;Descricao (PT);Categoria;Headtop?;Motorizado(PAPR);Ar Mandado(SAR);Atividades;Certificacao;Pagina;Imagem;OBS / ITENS FALTANDO
;ELIPSE-PART;SPR337 | SPR502;Respirador P3 antiodor;;;;;;CA 29.416;;assets/produtos/el-SPR337-SPR502-P3-NO-Mask.png;
;ELIPSE-QP;SPM008;Estojo para Respirador A1-P3;;;;;;;;assets/produtos/el-SPM008.png;
;ELIPSE-QP;SPM420;Kit Pré-Filtro para A1-P3 (Grade de Proteção + Pré-Filtro);;;;;;;;assets/produtos/el-SPM420-Prefilters-Kit.png;
;ELIPSE-QP;SPM421;Pré-filtro para A1-P3;;;;;;;;assets/produtos/el-SPM421-prefilter-pads-2.png;
;ELIPSE-QP;SPR003;Kit de peças de reposição (Apoio de Cabeça + Elástico);;;;;;;;;
;ELIPSE-QP;SPR005;Kit de Peças de Reposição (Válvula Frontal);;;;;;;;;
;ELIPSE-QP;SPR006;Kit de Peças de Reposição (Membrana da Válvula);;;;;;;;;
;ELIPSE-QP;SPR008;Kit de Peças de Reposição (Proteções interna e externa dos filtros);;;;;;;;;
;ELIPSE-QP;SPR009;Kit de Peças de Reposição (Trava Giratória);;;;;;;;;
;ELIPSE-QP;SPR010;Kit de Peças de Reposição (Conector Esquerdo e Direto da Alça);;;;;;;;;
;ELIPSE-QP;SPR338 | SPR503;Respirador A1P3 - Vapores Orgânicos + Combinado;;;;;;CA 31.870;;assets/produtos/el-SPR338-SPR503-A1P3-Mask.png;
;ELIPSE-QP;SPR341;Par de filtro Elipse A1-P3 Reposição - Vapores Orgânicos + Combinado;;;;;;;;assets/produtos/el-SPR341-A1P3-Filters.png;
;ELIPSE-QUIM;SPM009;Estojo para Respirador família ABEK;;;;;;;;assets/produtos/el-SPM009.png;
;ELIPSE-QUIM;SPM520;Par de Filtros Reposição P3-II;;;;;;;;assets/produtos/el-SPM520-Peel-Off-Visor-for-Integra-v2.png;
;ELIPSE-QUIM;SPM521;Par de Grades / Retentor para P3-II;;;;;;;;;
;ELIPSE-QUIM;SPR003;Kit de peças de reposição (Apoio de Cabeça + Elástico);;;;;;;;;
;ELIPSE-QUIM;SPR005;Kit de Peças de Reposição (Válvula Frontal);;;;;;;;;
;ELIPSE-QUIM;SPR006;Kit de Peças de Reposição (Membrana da Válvula);;;;;;;;;
;ELIPSE-QUIM;SPR007;Kit de peças de reposição (Presilha e conector de elástico);;;;;;;;;
;ELIPSE-QUIM;SPR009;Kit de Peças de Reposição (Trava Giratória);;;;;;;;;
;ELIPSE-QUIM;SPR487 | SPR488;Respirador ABEK1 Multigases;;;;;;CA 31.870;;;
;ELIPSE-QUIM;SPR489;Par de filtro Elipse ABEK1 Reposição - Multigases;;;;;;;;assets/produtos/el-SPR489-ABEK1-Replacement-Filters.png;
;ELIPSE-QUIM;SPR490 | SPR491;Respirador ABEK1P3 Multigases + Combinado;;;;;;CA 31.870;;assets/produtos/el-SPR490-SPR491-ABEK1P3-Mask.png;
;ELIPSE-QUIM;SPR492;Par de filtro Elipse ABEK1P3 Reposição - Multigases + Combinado;;;;;;;;assets/produtos/el-SPR492-ABEK1P3-Replacement-Filters.png;
;ELIPSE-QUIM;SPR511 | SPR512;Respirador A1;;;;;;CA 31.870;;;
;ELIPSE-QUIM;SPR513;Par de filtro Elipse A1 Reposição - Vapores Orgânicos;;;;;;;;assets/produtos/el-SPR513-A1-Replacement-Filters.png;
;ELIPSE-QUIM;SPR514 | SPR515;Respirador E1;;;;;;CA 31.870;;assets/produtos/el-SPR514-SPR515-E1-Mask.png;
;ELIPSE-QUIM;SPR516;Par de filtro Elipse E1 Reposição - Gases Ácidos;;;;;;;;assets/produtos/el-SPR516-E1-Replacement-Filters.png;
;ELIPSE-QUIM;SPR517 | SPR518;Respirador AE1;;;;;;CA 31.870;;;
;ELIPSE-QUIM;SPR519;Par de filtro Elipse AE1 Reposição - Vapores Orgânicos + Gases Ácidos;;;;;;;;assets/produtos/el-SPR519-AE1-Replacement-Filters.png;

"ADICIONAR ABAIXO ↓ (codigo, descricao, etc):"


