MANTER/TIRAR;Familia;Codigo;Descricao (PT);Categoria;Headtop?;Motorizado(PAPR);Ar Mandado(SAR);Atividades;Certificacao;Pagina;Imagem;OBS / ITENS FALTANDO
;PX5;03-851-EUUK;Carregador de Bateria - UE/Reino Unido.;Part;;;;;32;;assets/produtos/03-851.jpg;
;PX5;03-855;Bateria;Filter/Consumable;;;;;32;;assets/produtos/03-855.jpg;
;PX5;03-856;Bateria de Alta Capacidade;Filter/Consumable;;;;;32;;assets/produtos/03-856.jpg;
;PX5;03-890;Pré-filtros (pct 10);Filter/Consumable;;;;;32;;assets/produtos/03-890-Pre-filter.jpg;
;PX5;03-891;Para-faíscas PAPR;Filter/Consumable;;;;;32;;assets/produtos/03-891-Spark-Arrestor.jpg;
;PX5;03-892-P;Filtro HEPA;Filter/Consumable;;;;;EN12941;p.11;assets/produtos/03-892-P.jpg;
;PX5;03-893-A2;Filtro A2P3;Filter/Consumable;;;;;EN12941;p.11;assets/produtos/03-893-A2.jpg;
;PX5;03-894-ABE;Filtro ABE-P;Filter/Consumable;;;;;EN12941;p.11;assets/produtos/03-894-ABE.jpg;
;PX5;03-895-ABEK;Filtro ABEK-P;Filter/Consumable;;;;;EN12941;p.11;assets/produtos/03-895-ABEK.jpg;
;PX5;04-831;Tubo de Respiração PAPR;Filter/Consumable;;;;;32;;assets/produtos/04-831-PX5-Breathing-Tube.jpg;
;PX5;04-841;Tubo de Respiração PAPR Curto - para conjunto mochila.;Filter/Consumable;;;;;32;;assets/produtos/04-841.jpg;
;PX5;04-843;Vedação do Acoplador PAPR (pct 5);Part;;;;;32;;;
;PX5;04-852;Capa do Tubo de Respiração Tychem - tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-852-Tychem-Breathing-Tube-Cover.jpg;
;PX5;04-854;Capa do Tubo de Respiração FR - tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-854.jpg;
;PX5;04-855;Capa do Tubo de Respiração Aluminizada - tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-855-High-Heat-Aluminium-Breathing-Tube-Cover.jpg;
;PX5;04-856;Manga Descartável/Descontaminação do Tubo de Respiração (pct 10) - tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-856.png;
;PX5;04-872;Capa Curta do Tubo de Respiração Tychem - para conjunto mochila, tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-872.jpg;
;PX5;04-874;Capa Curta do Tubo de Respiração FR - para conjunto mochila, tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-874.jpg;
;PX5;04-875;Capa Curta do Tubo de Respiração Aluminizada - para conjunto mochila, tubo de respiração não incluído.;Accessory;;;;;32;;assets/produtos/04-875.jpg;
;PX5;07-765-DC;Conjunto de Cinto RPB 2 Polegadas - fácil limpeza.;Part;;;;;32;;assets/produtos/07-765-DC-PX5-Decon-Belt.jpg;
;PX5;07-765-FR;Conjunto de Cinto RPB 2 Polegadas - FR.;Part;;;;;32;;assets/produtos/07-765-FR-2.jpg;
;PX5;09-021-EU;Cabo de Alimentação RPB - plugue UE.;Part;;;;;32;;assets/produtos/09-021-EU-2.jpg;
;PX5;09-021-UK;Cabo de Alimentação RPB - plugue Reino Unido.;Part;;;;;32;;assets/produtos/09-021-UK-7.jpg;
;T200;04-831;Tubo de Respiração PAPR;Consumable;SIM;SIM;;;423;;assets/produtos/04-831-PX5-Breathing-Tube.jpg;
;T200;04-841;Tubo de Respiração Curto - para conjunto mochila.;Consumable;SIM;SIM;;;423;;assets/produtos/04-841.jpg;
;T200;04-852;Capa do Tubo de Respiração Tychem - tubo de respiração não incluído.;Accessory;SIM;SIM;;saude farmaceutica quimica;423;;assets/produtos/04-852-Tychem-Breathing-Tube-Cover.jpg;
;T200;04-856;Manga Descartável/Descontaminação do Tubo de Respiração (pct 10) - tubo de respiração não incluído.;Accessory;SIM;SIM;;saude farmaceutica quimica;423;;assets/produtos/04-856.png;
;T200;04-872;Capa Curta do Tubo de Respiração Tychem - para conjunto mochila, tubo de respiração não incluído.;Accessory;SIM;SIM;;saude farmaceutica quimica;423;;assets/produtos/04-872.jpg;
;T200;15-841;Conjunto do Arnês de Cabeça;Part;SIM;SIM;;;423;;assets/produtos/15-841-Head-Harness-Assembly.jpg;
;T200;15-842;Suporte do Arnês - par.;Part;SIM;SIM;;;423;;assets/produtos/15-842.jpg;
;T200;15-850;Boné de Impacto - inclui almofada de conforto e frontal e tira frontal.;Part;SIM;SIM;;;423;;assets/produtos/15-850-T200-Bump-Cape.jpg;
;T200;15-855;Boné de Impacto - inclui almofada de conforto.;Part;SIM;SIM;;;423;;assets/produtos/15-855.jpg;
;T200;15-870;Conjunto do Arnês de Cabeça com Duto de Ar e Clipes de Fixação de Lente;Part;SIM;SIM;;;423;;assets/produtos/15-870.png;
;T200;16-526;Almofada Frontal da Faixa de Cabeça;Consumable;SIM;SIM;;;423;;assets/produtos/16-526-Edited-7.jpg;
;T200;16-526;Almofada Frontal da Faixa de Cabeça;Part;SIM;SIM;;;423;;assets/produtos/16-526-Edited-7.jpg;
;T200;16-530;Conjunto de Catraca do Arnês de Cabeça;Part;SIM;SIM;;;423;;assets/produtos/16-530-Z-Link-Head-Harness-Ratchet-Assembly.jpg;
TIRAR;T200;17-0106;"Respirador T200, Boné de Impacto - Vedação Facial Tychem 2000 com PX5 PAPR; inclui conjunto de arnês de cabeça, boné de impacto e conjunto PX5 PAPR.";Headtop with Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/T200-Face-Seal-PX5.jpg;
;T200;17-200-22-CE;"Respirador T200, Arnês de Cabeça - Vedação Facial Tychem 2000; inclui conjunto de arnês de cabeça e tubo de respiração PX5.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-200-22-CE.jpg;
;T200;17-200-32-CE;"Respirador T200, Arnês de Cabeça - Capuz Tychem 2000 com Vedação Facial; inclui conjunto de arnês de cabeça e tubo de respiração PX5.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-200-32-CE.jpg;
TIRAR;T200;17-202-22-CE;"Respirador T200, Arnês de Cabeça - Vedação Facial Tychem 2000; inclui conjunto de arnês de cabeça.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-200-22-CE.jpg;
TIRAR;T200;17-202-32-CE;"Respirador T200, Arnês de Cabeça - Capuz Tychem 2000 com Vedação Facial; inclui conjunto de arnês de cabeça.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-200-32-CE.jpg;
;T200;17-210-22-CE;"Respirador T200, Boné de Impacto - Vedação Facial Tychem 2000; inclui conjunto do boné de impacto e tubo de respiração PX5.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-210-22-CE.jpg;
;T200;17-210-32-CE;"Respirador T200, Boné de Impacto - Capuz Tychem 2000 com Vedação Facial; inclui conjunto do boné de impacto e tubo de respiração PX5.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-200-32-CE.jpg;
TIRAR;T200;17-212-22-CE;"Respirador T200, Boné de Impacto - Vedação Facial Tychem 2000; inclui conjunto do boné de impacto.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3";p.51;assets/produtos/17-210-22-CE.jpg;
TIRAR;T200;17-212-32-CE;"Respirador T200, Boné de Impacto - Capuz Tychem 2000 com Vedação Facial; inclui conjunto do boné de impacto.";Headtop - Powered Air;SIM;SIM;;saude farmaceutica quimica;"EN12941 TH3; EN166 1F 3 812";p.51;assets/produtos/17-200-32-CE.jpg;
;T200;17-513;Suportes de Lente - par.;Part;SIM;SIM;;;423;;assets/produtos/17-513.jpg;
;T200;17-712;Capuz Tychem 2000 com Vedação de Pescoço - capuz de reposição.;Consumable;SIM;SIM;;;423;;assets/produtos/17-712.jpg;
;T200;17-713;Capuz Tychem 4000 com Costuras Seladas - capuz de reposição.;Consumable;SIM;SIM;;;423;;assets/produtos/17-713.avif;
;T200;17-722;Vedação Facial Tychem 2000 - capuz de reposição.;Consumable;SIM;SIM;;;EN166 1F 3;p.53;assets/produtos/17-722.jpg;
;T200;17-732;Capuz Tychem 2000 com Vedação Facial - capuz de reposição.;Consumable;SIM;SIM;;;EN166 1F 3;p.53;assets/produtos/17-732-Tychem-2000-Neck-Seal.jpg;
;T200;17-811;Lente Cassete Clear Vision (pct 10) - 7 camadas, para capuzes com vedação facial.;Consumable;SIM;SIM;;;423;;assets/produtos/17-811.jpg;
;T200;17-815;Lente Descartável Tear-off (pct 25) - para capuzes de comprimento total.;Consumable;SIM;SIM;;;423;;assets/produtos/17-815.jpg;
;T200;17-817;Lente Cassete Clear Vision (pct 10) - 7 camadas, para capuzes de comprimento total.;Consumable;SIM;SIM;;;423;;assets/produtos/17-817.jpg;
;T200;18-524;Protetores Auriculares Slim-Line;Accessory;SIM;SIM;;;EN352-1;p.53;assets/produtos/18-524.jpg;
;T200;18-600;Bolsa de Transporte RPB;Accessory;SIM;SIM;;;423;;assets/produtos/18-600.jpg;
;TLINK;04-831;Tubo de Respiração PAPR;Consumable;SIM;SIM;;;385;;assets/produtos/04-831-PX5-Breathing-Tube.jpg;
;TLINK;04-833;Tubo de Respiração SAR;Consumable;SIM;;SIM;;385;;assets/produtos/04-833-SAR-Breathing-Tube.jpg;
;TLINK;04-841;Tubo de Respiração Curto - para conjunto mochila.;Consumable;SIM;SIM;;;385;;assets/produtos/04-841.jpg;
;TLINK;04-852;Capa do Tubo de Respiração Tychem - tubo de respiração não incluído.;Accessory;SIM;SIM;SIM;;385;;assets/produtos/04-852-Tychem-Breathing-Tube-Cover.jpg;
;TLINK;04-856;Manga Descartável/Descontaminação do Tubo de Respiração (pct 10) - tubo de respiração não incluído.;Accessory;SIM;SIM;SIM;;385;;assets/produtos/04-856.png;
;TLINK;04-872;Capa Curta do Tubo de Respiração Tychem - para conjunto mochila, tubo de respiração não incluído.;Accessory;SIM;SIM;;;385;;assets/produtos/04-872.jpg;
;TLINK;16-514;Conjunto da Mandíbula - inclui parafusos e 16-515.;Part;SIM;SIM;SIM;;385;;assets/produtos/16-514.jpg;
;TLINK;16-516;Suporte de Protetor Auricular Quiet-Link - par, inclui parafusos.;Part;SIM;SIM;SIM;;385;;assets/produtos/16-516-Edited-27.jpg;
;TLINK;16-519;Adaptador de Entrada de Ar;Part;SIM;;SIM;;385;;assets/produtos/16-519-Z-Link-T-Link-Air-Inlet-Adapter.jpg;
;TLINK;16-520-S;Sistema de Acolchoamento Lateral Comfort-Fit;Accessory;SIM;SIM;SIM;;385;;assets/produtos/16-520-S.jpg;
;TLINK;16-520-T;Sistema de Ajuste;Part;SIM;SIM;SIM;;385;;assets/produtos/16-520-T.jpg;
;TLINK;16-521;Absorvedor de Impacto;Part;SIM;SIM;SIM;;385;;assets/produtos/16-521.jpg;
;TLINK;16-522;Almofada de Conforto;Part;SIM;SIM;SIM;;385;;assets/produtos/16-522.jpg;
;TLINK;16-525;Suporte do Arnês de Cabeça e Direcionador de Ar;Part;SIM;SIM;SIM;;385;;assets/produtos/16-525.jpg;
;TLINK;16-526;Almofada Frontal da Faixa de Cabeça;Consumable;SIM;SIM;SIM;;385;;assets/produtos/16-526-Edited-7.jpg;
;TLINK;16-527;Molduras de Acolchoamento Lateral Comfort-Fit;Part;SIM;SIM;SIM;;385;;assets/produtos/16-527-2.jpg;
;TLINK;16-528;Almofadas de Espuma Comfort Fit - par.;Part;SIM;SIM;SIM;;385;;assets/produtos/16-528-2.jpg;
;TLINK;16-530;Conjunto de Catraca do Arnês de Cabeça;Part;SIM;SIM;SIM;;385;;assets/produtos/16-530-Z-Link-Head-Harness-Ratchet-Assembly.jpg;
;TLINK;16-531;Conjunto do Arnês de Cabeça - inclui 16-530.;Part;SIM;SIM;SIM;;385;;assets/produtos/16-531-L.jpg;
;TLINK;16-901;Kit de Iluminação para Capacete Vision-Link - inclui 09-510-RAW, 16-918 e 15-839.;Accessory;SIM;SIM;SIM;;385;;assets/produtos/16-901.jpg;
;TLINK;16-922;Sistema de Comunicação Interno do Capacete Comms-Link (Não IS) - inclui 16-529 e 09-913. Adaptador de rádio vendido separadamente.;Accessory;SIM;SIM;SIM;;385;;assets/produtos/16-922.jpg;
;TLINK;16-930;Indicador de Baixo Fluxo;Part;SIM;;SIM;;385;;assets/produtos/16-930.jpg;
;TLINK;17-000-12-CE;Respirador T-Link, Capacete - Capuz Tychem 2000;Headtop - Powered Air;SIM;SIM;;pintura quimica farmaceutica saude fabricacao Agro industria;"EN12941 TH3; EN397; EN166";p.43;assets/produtos/17-110-12-CE.jpg;
;TLINK;17-020-12;"Respirador T-Link SAR, Capacete - Capuz Tychem 2000; inclui indicador de baixo fluxo e tubo de respiração SAR. Dispositivo de fluxo vendido separadamente.";Headtop - Supplied Air;SIM;;SIM;pintura quimica farmaceutica saude fabricacao Agro industria;"EN14594 3B; EN397; EN166";p.43;assets/produtos/17-120-12.jpg;
TIRAR;TLINK;17-100-12-CE;Respirador T-Link, Boné de Impacto - Capuz Tychem 2000;Headtop - Powered Air;SIM;SIM;SIM;pintura quimica farmaceutica saude fabricacao Agro industria;"EN12941 TH3; EN812; EN166";p.43;assets/produtos/17-110-12-CE.jpg;
;TLINK;17-110;Conjunto do Boné de Impacto;Part;SIM;SIM;SIM;;385;;assets/produtos/17-110.jpg;
;TLINK;17-110-12-CE;"Respirador T-Link, Boné de Impacto - Capuz Tychem 2000; inclui tubo de respiração PX5.";Headtop - Powered Air;SIM;SIM;;pintura quimica farmaceutica saude fabricacao Agro industria;"EN12941 TH3; EN812; EN166";p.43;assets/produtos/17-110-12-CE.jpg;
;TLINK;17-120-12;"Respirador T-Link SAR, Boné de Impacto - Capuz Tychem 2000; inclui indicador de baixo fluxo e tubo de respiração SAR. Dispositivo de fluxo vendido separadamente.";Headtop - Supplied Air;SIM;;SIM;pintura quimica farmaceutica saude fabricacao Agro industria;"EN14594 3B; EN812; EN166";p.43;assets/produtos/17-120-12.jpg;
;TLINK;17-512;Clipes de Fixação de Lente - par.;Part;SIM;SIM;SIM;;385;;assets/produtos/17-512.jpg;
;TLINK;17-712;Capuz Tychem 2000 - capuz de reposição.;Consumable;SIM;SIM;SIM;;385;;assets/produtos/17-712.jpg;
;TLINK;17-713;Capuz Tychem 4000 com Costuras Seladas - capuz de reposição.;Consumable;SIM;SIM;SIM;;385;;assets/produtos/17-713.avif;
;TLINK;17-713-SX;Capuz Tychem 4000 de Comprimento Extra com Costuras Seladas, Lente de Segurança e Tiras de Cintura - capuz de reposição.;Consumable;SIM;SIM;SIM;;EN166 1F 3;p.45;assets/produtos/17-713-SX.jpg;
;TLINK;17-815;Lente Descartável Peel-off (pct 25);Consumable;SIM;SIM;SIM;;385;;assets/produtos/17-815.jpg;
;TLINK;17-817;Lente Cassete Clear Vision (pct 10), 7 camadas.;Consumable;SIM;SIM;SIM;;385;;assets/produtos/17-817.jpg;
;TLINK;18-533;Protetores Auriculares para Capacete Quiet-Link - inclui suporte de suspensão 18-535.;Accessory;SIM;SIM;SIM;;EN352-3;p.45;assets/produtos/18-533.jpg;
;TLINK;18-535;Suportes de Suspensão Quiet-Link;Accessory;SIM;SIM;SIM;;385;;assets/produtos/18-535.jpg;
;TLINK;18-600;Bolsa de Transporte RPB;Accessory;SIM;SIM;SIM;;385;;assets/produtos/18-600.jpg;
;VCOMMS;09-050;Carregador de Bateria de Duas Baias;Vision-Link Part;;SIM;;;167;;assets/produtos/09-050.jpg;
;VCOMMS;09-055;Bateria de Íon de Lítio;Vision-Link Part;;SIM;;;167;;assets/produtos/09-055.jpg;
;VCOMMS;09-913;Botão Push-to-Talk (PTT);Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-913-L.jpg;
;VCOMMS;09-930;Cabo de Conexão Motorola - dois pinos.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-930.jpg;
;VCOMMS;09-931;Cabo de Conexão Motorola - multipinos.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-931.jpg;
;VCOMMS;09-932;Cabo de Conexão Motorola - multipinos.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-932.jpg;
;VCOMMS;09-933;Cabo de Conexão Kenwood - dois pinos.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-933-2.jpg;
;VCOMMS;09-934;Cabo de Conexão Motorola - multipinos.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-934.jpg;
;VCOMMS;09-935;Cabo de Conexão Motorola - pino único.;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/09-935.jpg;
;VCOMMS;15-839;"Suporte de Mandíbula - para Z-Link, Z4; parafuso não incluído.";Vision-Link Part;;SIM;SIM;;167;;assets/produtos/15-839.jpg;
;VCOMMS;16-529;Clipe Retentor de Comunicação;Comms-Link Part;;SIM;SIM;;167;;assets/produtos/16-529.jpg;
;VCOMMS;16-910;Conjunto do Corpo da Luz LED - bateria e carregador não incluídos.;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-910.jpg;
;VCOMMS;16-913;Carenagem Traseira;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-913.jpg;
;VCOMMS;16-915;Vedação da Carenagem;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-915.jpg;
;VCOMMS;16-916;Lente Protetora;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-916.jpg;
;VCOMMS;16-917;Trava;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-917.jpg;
;VCOMMS;16-918;"Suporte de Mandíbula - para T-Link; inclui parafuso.";Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-918.jpg;
;VCOMMS;16-919;Alavanca de Trava QR;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-919.jpg;
;VCOMMS;16-923;Pino da Dobradiça;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-923.jpg;
;VCOMMS;16-926;Conjunto da Alavanca de Trava - inclui 16-919.;Vision-Link Part;;SIM;SIM;;167;;assets/produtos/16-926.jpg;
;Z4;04-831;Tubo de Respiração PAPR;Consumable;SIM;SIM;;solda;309;;assets/produtos/04-831-PX5-Breathing-Tube.jpg;
;Z4;04-841;Tubo de Respiração Curto - para conjunto mochila.;Consumable;SIM;SIM;;solda;309;;assets/produtos/04-841.jpg;
;Z4;04-854;Capa do Tubo de Respiração FR - tubo de respiração não incluído.;Accessory;SIM;SIM;;solda;309;;assets/produtos/04-854.jpg;
;Z4;04-874;Capa Curta do Tubo de Respiração FR - para conjunto mochila, tubo de respiração não incluído.;Accessory;SIM;SIM;;solda;309;;assets/produtos/04-874.jpg;
;Z4;13-072-(1,1.5,2,2.5);Lente de Aumento Ultra - disponível em 1.0, 1.5, 2.0 e 2.5.;Accessory;SIM;SIM;;solda;309;;assets/produtos/13-072-1-2.jpg;
TIRAR;Z4;15-000-21-CE;Respirador Z4 - Capa de Ombro FR com protetores auriculares Quiet-Slim. Lente ADF e tubo de respiração não incluídos. PAPR vendido separadamente.;Headtop Package;SIM;SIM;;solda fundicao fabricacao;"EN12941 TH2; EN166 1B; EN352-1; EN812 optional";p.33;assets/produtos/15-000-21-CE.jpg;
;Z4;15-010-11-CE;"Respirador Z4 - Vedação Facial FR; inclui lente ADF, protetores auriculares Quiet-Slim e tubo de respiração PX5. PAPR vendido separadamente.";Headtop Package;SIM;SIM;;solda fundicao fabricacao;"EN12941 TH2; EN166 1B; EN379; EN175; EN352-1; EN812 optional";p.33;assets/produtos/15-010-11-CE.jpg;
;Z4;15-148;Suportes de Almofada Lateral - par, inclui peças de velcro.;Part;SIM;SIM;;solda;343;;assets/produtos/15-148.jpg;
;Z4;15-711;Vedação Facial FR;Consumable;SIM;SIM;;solda;343;;assets/produtos/15-711.jpg;
;Z4;15-721;Capa de Ombro FR;Consumable;SIM;SIM;;solda;343;;assets/produtos/15-721.jpg;
;Z4;15-811;Protetor Facial;Part;SIM;SIM;;solda;343;;assets/produtos/15-811.jpg;
;Z4;15-812;Conjunto do Visor de Solda - inclui 16-672 e 15-821.;Part;SIM;SIM;;solda;343;;assets/produtos/15-812-New.jpg;
;Z4;15-821;Bloqueadores de Janela Lateral - par, cinza sólido.;Part;SIM;SIM;;solda;343;;assets/produtos/15-821.jpg;
;Z4;15-821-5;Bloqueadores de Janela Lateral - Tom 5 - par.;Part;SIM;SIM;;;309;;assets/produtos/15-821-5.jpg;
;Z4;15-822;Kit de Conjunto de Molas;Part;SIM;SIM;;solda;343;;assets/produtos/15-822-Edited-26.jpg;
;Z4;15-830;Suporte do Arnês de Cabeça e Sistema de Ajuste;Part;SIM;SIM;;solda;343;;assets/produtos/15-830.jpg;
;Z4;15-831;Tampa do Clipe Frontal da Capa;Part;SIM;SIM;;solda;343;;assets/produtos/15-831.jpg;
;Z4;15-832;Lente de Segurança Baioneta - par.;Part;SIM;SIM;;solda;343;;assets/produtos/15-832.jpg;
;Z4;15-839;Suporte de Mandíbula Vision-Link - parafuso não incluído.;Part;SIM;SIM;;solda;343;;assets/produtos/15-839.jpg;
;Z4;15-840;Conjunto do Arnês de Cabeça - inclui 16-530 e 15-848.;Part;SIM;SIM;;solda;343;;assets/produtos/15-840-Edited-82.jpg;
;Z4;15-842;Suporte do Arnês - par.;Part;SIM;SIM;;solda;343;;assets/produtos/15-842.jpg;
;Z4;15-848;Sistema de Acolchoamento Lateral Comfort-Fit - inclui peças de velcro.;Accessory;SIM;SIM;;solda;309;;assets/produtos/15-848-Comfort-Side-Padding-System.jpg;
;Z4;15-850;Conjunto de Arnês do Boné de Impacto - inclui almofada de conforto e frontal e tira frontal.;Part;SIM;SIM;;solda;309;;assets/produtos/15-850-T200-Bump-Cape.jpg;
;Z4;15-851-1;Conjunto de Entrada de Ar - inclui parafusos.;Part;SIM;SIM;;solda;343;;assets/produtos/15-851-1.jpg;
;Z4;15-855;Reposição do Boné de Impacto - inclui almofada de conforto.;Part;SIM;SIM;;solda;309;;assets/produtos/15-855.jpg;
;Z4;15-878;Lente de Segurança (pct 10);Consumable;SIM;SIM;;solda;EN166;p.33;assets/produtos/15-878-2.jpg;
;Z4;16-526;Almofada Frontal da Faixa de Cabeça;Part;SIM;SIM;;solda;309;;assets/produtos/16-526-Edited-7.jpg;
;Z4;16-528;Almofadas Laterais de Espuma - par.;Part;SIM;SIM;;solda;343;;assets/produtos/16-528-2.jpg;
;Z4;16-530;Conjunto de Catraca do Arnês de Cabeça;Part;SIM;SIM;;solda;343;;assets/produtos/16-530-Z-Link-Head-Harness-Ratchet-Assembly.jpg;
;Z4;16-672;Retentor da Lente de Solda;Part;SIM;SIM;;solda;343;;assets/produtos/16-672-adj-L.jpg;
;Z4;16-871;Filtro de Autoescurecimento RPB (ADF) - 1/1/1/2, EN379, EN175.;Part;SIM;SIM;;solda;343;;assets/produtos/16-871-Z4-RPB-ADF.jpg;
;Z4;16-872;Lente de Impacto de Solda ADF/Tom Fixo (pct 10);Consumable;SIM;SIM;;solda;309;;assets/produtos/16-872.jpg;
;Z4;16-873;Lente Traseira de Solda ADF (pct 10);Consumable;SIM;SIM;;solda;309;;assets/produtos/16-873.jpg;
;Z4;16-874;Lente Protetora para Lente de Impacto ADF – Revestida de Alumínio (pct 10);Consumable;SIM;SIM;;solda;309;;assets/produtos/16-874.jpg;
;Z4;16-875;Conjunto de Suporte de Lente de Aumento;Part;SIM;SIM;;solda;343;;assets/produtos/16-875.jpg;
;Z4;16-878;Lente Traseira de Solda de Tom Fixo (pct 10);Consumable;SIM;SIM;;solda;309;;assets/produtos/16-878.jpg;
